marker,pvalue
DC_pSTAT1_Unstim,1
DC_pSTAT3_Unstim,0.0280380115340915
DC_pSTAT3_IL246,0.422892873590559
DC_prpS6_Unstim,0.46327649845657
DC_prpS6_LPS,0.582595741630551
DC_prpS6_IL246,0.111197805584713
DC_prpS6_IL18,0.485497011388337
DC_PD-L1_Unstim,0.129294958023327
DC_PD-L1_LPS,0.295914936417206
DC_PD-L1_IL246,0.16851516122336
DC_PD-L1_IL18,0.0967571292332035
DC_CD44_Unstim,0.684961136242108
DC_CD44_LPS,0.328428775890391
DC_CD44_IL246,0.260514811086122
DC_CD44_IL18,0.263916928161143
DC_pNFkB_Unstim,0.83378773741967
DC_pNFkB_LPS,0.83378773741967
DC_pNFkB_IL246,0.171000388623915
DC_pNFkB_IL18,0.843158544551401
DC_pERK1-2_Unstim,0.531581118414417
DC_pERK1-2_LPS,0.771978760057143
DC_pERK1-2_IL18,0.840032405029695
DC_pSTAT6_Unstim,0.310449032807584
DC_pSTAT6_IL246,0.704142141449192
DC_pPLCg1_Unstim,0.103354098391749
DC_pPLCg1_LPS,0.982460810824673
DC_pPLCg1_IL246,0.690845105016855
DC_pPLCg1_IL18,0.893480194257099
DC_CXCR4_Unstim,0.793469411086145
DC_CXCR4_LPS,0.91564395944384
DC_CXCR4_IL246,0.714565143878602
DC_CXCR4_IL18,0.418281276859517
DC_CD62L_Unstim,0.485497011388337
DC_CD62L_LPS,0.781168687613797
DC_CD62L_IL246,0.714565143878602
DC_CD62L_IL18,0.596381138792308
DC_HK2_Unstim,0.131325903236153
DC_HK2_LPS,0.237549434579061
DC_HK2_IL246,0.448783458255733
DC_HK2_IL18,0.297765703860033
DC_CD63_Unstim,0.909303629135089
DC_CD63_LPS,0.618739778095441
DC_CD63_IL246,0.942643823488455
DC_CD63_IL18,0.26821201846109
FceRIanegDC_VDAC1_Unstim,0.815118054294526
FceRIanegDC_VDAC1_LPS,0.93787350347989
FceRIanegDC_VDAC1_IL246,0.56625236764081
FceRIanegDC_VDAC1_IL18,0.365287235282633
FceRIanegDC_GLUT1_Unstim,0.482999914831975
FceRIanegDC_GLUT1_LPS,0.741582624034379
FceRIanegDC_GLUT1_IL246,0.861965633643061
FceRIanegDC_GLUT1_IL18,0.979272529605356
FceRIanegDC_CPT1a_Unstim,0.858825377880147
FceRIanegDC_CPT1a_LPS,0.796552768560577
FceRIanegDC_CPT1a_IL246,0.91564395944384
FceRIanegDC_CPT1a_IL18,0.568960928235011
FceRIanegDC_pCREB_Unstim,0.402375552868681
FceRIanegDC_pCREB_LPS,0.8494181952811
FceRIanegDC_pCREB_IL246,0.470619706176199
FceRIanegDC_pCREB_IL18,0.0736649516415017
FceRIanegDC_pSTAT5_Unstim,0.668323863386193
FceRIanegDC_pSTAT5_IL246,0.513420502681914
FceRIanegDC_pP38_Unstim,0.589131293211814
FceRIanegDC_pP38_LPS,0.969709875966582
FceRIanegDC_pP38_IL18,0.292143509050428
FceRIanegDC_pSTAT1_Unstim,1
FceRIanegDC_pSTAT3_Unstim,0.154809972353975
FceRIanegDC_pSTAT3_IL246,0.158844886026367
FceRIanegDC_prpS6_Unstim,0.531615760800502
FceRIanegDC_prpS6_LPS,0.944234472673077
FceRIanegDC_prpS6_IL246,0.279604864781726
FceRIanegDC_prpS6_IL18,0.956966679808893
FceRIanegDC_PD-L1_Unstim,0.756733648750368
FceRIanegDC_PD-L1_LPS,0.354798605082412
FceRIanegDC_PD-L1_IL246,0.988838162851015
FceRIanegDC_PD-L1_IL18,0.9029697956152
FceRIanegDC_CD44_Unstim,0.274306605129595
FceRIanegDC_CD44_LPS,0.985649372213776
FceRIanegDC_CD44_IL246,0.9029697956152
FceRIanegDC_CD44_IL18,0.384648777588793
FceRIanegDC_pNFkB_Unstim,0.647193494659962
FceRIanegDC_pNFkB_LPS,0.925163855138325
FceRIanegDC_pNFkB_IL246,0.250491003577278
FceRIanegDC_pNFkB_IL18,0.934694479460898
FceRIanegDC_pERK1-2_Unstim,0.921925464795764
FceRIanegDC_pERK1-2_LPS,0.471849345724956
FceRIanegDC_pERK1-2_IL18,0.969709875966582
FceRIanegDC_pSTAT6_Unstim,0.310449032807584
FceRIanegDC_pSTAT6_IL246,0.499340007853782
FceRIanegDC_pPLCg1_Unstim,0.128288675475926
FceRIanegDC_pPLCg1_LPS,0.621561766095664
FceRIanegDC_pPLCg1_IL246,0.593612197667221
FceRIanegDC_pPLCg1_IL18,0.86825264596516
FceRIanegDC_CXCR4_Unstim,0.771978760057143
FceRIanegDC_CXCR4_LPS,0.972897011293104
FceRIanegDC_CXCR4_IL246,0.544809569063388
FceRIanegDC_CXCR4_IL18,0.717550200323597
FceRIanegDC_CD62L_Unstim,0.787312416725095
FceRIanegDC_CD62L_LPS,0.655833259247299
FceRIanegDC_CD62L_IL246,0.676171003421774
FceRIanegDC_CD62L_IL18,0.76892247532419
FceRIanegDC_HK2_Unstim,0.324487669752911
FceRIanegDC_HK2_LPS,0.899804986267321
FceRIanegDC_HK2_IL246,0.818222691900771
FceRIanegDC_HK2_IL18,0.505722983536991
FceRIanegDC_CD63_Unstim,0.399960883210095
FceRIanegDC_CD63_LPS,0.402203390781032
FceRIanegDC_CD63_IL246,0.411393362591827
FceRIanegDC_CD63_IL18,0.683482581034439
FceRIaposDC_VDAC1_Unstim,0.884005817422193
FceRIaposDC_VDAC1_LPS,0.607515259704567
FceRIaposDC_VDAC1_IL246,0.413699423022851
FceRIaposDC_VDAC1_IL18,0.0920339281496106
FceRIaposDC_GLUT1_Unstim,0.18782705094624
FceRIaposDC_GLUT1_LPS,0.210176080610811
