Name,Location,HBCU,HSI,Admission_Rate,SAT,Undergraduates,Average_Total_Cost,Instructional_Expenditure,Faculty_Salary,Full_Time_Faculty,Pell_Grant,Retention_Rate,Federal_Loan,Default_Rate,Proportion_Men,Endowment
Southern Illinois University-Carbondale,Urban,0,0,0.9178,1096,9523,29023,18453,7698,0.8072,0.3268,0.806,0.5289,0.078,0.5213,153.97
Southern Illinois University-Edwardsville,Suburban,0,0,0.8505,1154,11861,24244,13961,8726,0.7235,0.3368,0.7804,0.5058,0.052,0.4396,26.56
Western Illinois University,Small Town,0,0,0.6696,1011,6853,26287,13424,9068,0.8802,0.5011,0.7699,0.6357,0.079,0.4513,60.67
Purdue University Fort Wayne,Urban,0,0,0.8278,1090,11112,19224,8685,7135,0.9564,0.42,0.6504,0.4388,0.053,0.4906,60.3
Indiana University-Purdue University-Indianapolis,Urban,0,0,0.7854,1102,24230,21127,18926,8586,0.5581,0.4167,0.7464,0.41,0.042,0.405,1195.43
University of Southern Indiana,Suburban,0,0,0.9387,1089,10319,20146,7470,7349,1,0.3685,0.7492,0.5214,0.039,0.3635,122.12
Indiana University-South Bend,Urban,0,0,0.8687,1039,5256,16667,9008,6545,0.5882,0.4818,0.6714,0.3777,0.052,0.3545,22.73
Indiana University-Bloomington,Urban,0,0,0.8038,1261,34790,25587,16549,10738,0.8739,0.1854,0.9125,0.3364,0.034,0.5019,1221.38
Indiana University-Northwest,Urban,0,1,0.8168,1005,4308,13054,9156,7171,0.4604,0.5126,0.702,0.336,0.058,0.2715,12.07
Indiana University-Southeast,Suburban,0,0,0.8541,1055,5265,17421,8478,7191,0.5226,0.4415,0.6371,0.3984,0.06,0.3829,19.02
Indiana University-East,Rural,0,0,0.6732,1043,5029,16144,6755,6863,0.4321,0.53,0.6691,0.3741,0.059,0.3467,6.51
Iowa State University,Urban,0,0,0.8842,1197,29246,21740,10386,11366,0.8498,0.198,0.8863,0.4967,0.024,0.5664,1056.85
University of Iowa,Urban,0,0,0.8428,1229,25755,24806,14478,11790,0.8638,0.1886,0.881,0.4599,0.022,0.4526,1578.93
University of Northern Iowa,Urban,0,0,0.7888,1149,9872,21047,10377,8407,0.7975,0.2292,0.8555,0.5258,0.028,0.398,128.72
University of Kansas,Urban,0,0,0.9093,1227,21552,26204,19922,10346,0.846,0.1986,0.857,0.4207,0.043,0.4735,1842.17
Wichita State University,Urban,0,0,0.7963,1167,14448,20418,8293,8153,0.9817,0.3525,0.7088,0.5107,0.056,0.4512,276.14
Eastern Kentucky University,Small Town,0,0,0.9795,1116,14316,23384,8131,7146,0.6,0.4715,0.7948,0.5781,0.075,0.4225,68.72
Kentucky State University,Small Town,1,0,0.8398,959,2848,16885,6287,6736,0.9635,0.734,0.785,0.7506,0.092,0.415,18.52
University of Kentucky,Urban,0,0,0.9636,1223,24633,30178,13044,10906,0.8756,0.2305,0.8592,0.4525,0.043,0.433,1385.51
University of Louisville,Urban,0,0,0.6512,1198,18045,28247,16532,8093,0.5355,0.3504,0.8094,0.4319,0.044,0.4612,719.82
Murray State University,Small Town,0,0,0.7703,1179,8949,21349,9010,6535,0.7873,0.3829,0.8108,0.4904,0.06,0.384,89.9
Northern Kentucky University,Suburban,0,0,0.8703,1144,13411,17869,8497,7787,0.9719,0.3531,0.7456,0.5322,0.072,0.4099,106.25
Western Kentucky University,Urban,0,0,0.9775,1130,18550,21084,9366,7804,0.7241,0.384,0.7679,0.5243,0.069,0.3967,15.59
Grambling State University,Small Town,1,0,0.9322,942,4510,24332,4387,5993,0.9847,0.8308,0.7708,0.902,0.186,0.3545,7.25
Louisiana State University-Alexandria,Rural,0,0,0.6354,1042,3915,14207,4913,6012,0.5644,0.5214,0.5993,0.4095,0.119,0.2777,19.05
Louisiana State University and Agricultural & Mechanical College,Urban,0,0,0.7338,1229,27753,32724,9626,10089,0.9048,0.2888,0.8595,0.3353,0.04,0.4655,563.83
Louisiana State University-Shreveport,Urban,0,0,0.8268,1133,3244,19065,6067,8091,0.6513,0.4804,0.6163,0.2417,0.055,0.3996,23.69
Louisiana Tech University,Small Town,0,0,0.6357,1216,11268,21927,6445,7908,0.7644,0.3004,0.8078,0.4247,0.058,0.5505,75.65
McNeese State University,Urban,0,0,0.633,1136,7356,19489,4616,6909,1,0.3677,0.7163,0.4542,0.083,0.3923,21.54
University of New Orleans,Urban,0,0,0.8291,1088,7933,20864,6284,8204,0.7051,0.5572,0.6987,0.4179,0.066,0.4911,22.31
Nicholls State University,Urban,0,0,0.9329,1104,6809,21275,5545,6437,1,0.4199,0.7549,0.4814,0.086,0.3552,8.69
University of Louisiana at Monroe,Urban,0,0,0.7798,1118,7721,20851,6831,7378,0.7061,0.4568,0.7418,0.463,0.054,0.3351,32.67
Northwestern State University of Louisiana,Small Town,0,0,0.9485,1050,11689,22940,5018,6485,0.5947,0.5806,0.7559,0.5777,0.094,0.2722,16.2
